H:B 1:1;SPE 1;SPE 2;SPE 3;H:B 1:2;SPE 1;SPE 2;SPE3;H:B 2:1;SPE 1;SPE 2;SPE 3;H:B 1:3;SPE 1;SPE 2;SPE3;H:B 3:1;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
0.199883;74.2796;77.5745;80.0684;0.199883;63.0691;52.7217;62.392;0.199883;78.8334;78.8048;74.8995;0.199883;62.3777;62.3252;60.2033;0.199883;62.9785;73.2019;81.847
0.209884;75.4097;81.5896;82.939;0.209884;64.2517;54.3;64.1515;0.209884;78.6665;77.7891;74.8709;0.209884;63.2598;62.0344;59.8171;0.209884;62.2156;72.6107;81.6134
0.219806;75.2428;83.6876;85.1992;0.219806;65.2339;55.7925;65.83;0.219806;78.9907;76.8068;75.0139;0.219806;64.0848;61.5098;59.2735;0.219806;61.5051;71.7571;81.1699
0.229806;75.3286;83.3252;85.7619;0.229806;65.9158;57.142;67.3034;0.229806;79.2912;75.8245;75.1379;0.229806;64.8048;60.6754;58.439;0.229806;60.4751;70.5889;80.3974
0.239805;75.9867;82.4383;84.6604;0.239805;66.3784;58.4152;68.691;0.239805;79.3674;74.8518;75.1522;0.239805;65.3913;59.593;57.4663;0.239805;59.283;69.1822;79.3579
0.249805;76.6876;82.2047;83.0344;0.249805;66.4976;59.4404;69.7592;0.249805;79.067;73.7122;74.7087;0.249805;65.6631;58.1815;56.2455;0.249805;57.843;67.4608;77.894
0.259806;77.2026;82.3477;81.8518;0.259806;66.2544;60.2415;70.5603;0.259806;78.3184;72.172;74.0841;0.259806;65.6583;56.5794;54.8436;0.259806;56.236;65.5725;76.0391
0.269806;77.4267;82.2714;80.798;0.269806;65.5677;60.7135;70.9465;0.269806;77.1549;70.298;73.2687;0.269806;65.2292;54.672;53.1795;0.269806;54.4145;63.3743;73.8457
0.279806;77.4029;82.157;79.83;0.279806;64.533;60.9281;71.0323;0.279806;75.7483;68.2952;72.2769;0.279806;64.4662;52.6311;51.4533;0.279806;52.5786;61.1713;71.3995
0.289805;76.907;81.5896;78.5378;0.289805;62.9976;60.7851;70.6795;0.289805;74.1032;66.1685;70.9703;0.289805;63.3504;50.4663;49.503;0.289805;50.4901;58.7919;68.6958
0.299806;76.3538;80.5977;76.8354;0.299806;61.0998;60.2367;69.9118;0.299806;72.1577;63.8845;69.2394;0.299806;61.9771;48.2394;47.5957;0.299806;48.2823;56.298;65.83
0.309806;75.5909;79.377;74.6134;0.309806;58.7823;59.2115;68.6719;0.309806;69.9451;61.424;67.3797;0.309806;60.3178;46.0126;45.5358;0.309806;46.0793;53.7469;62.8688
0.319806;74.971;78.1992;72.2292;0.319806;56.174;57.7619;67.0412;0.319806;67.5943;58.7585;65.1386;0.319806;58.6488;43.8668;43.533;0.319806;44.048;51.1958;59.7932
0.329806;73.2162;76.7496;69.6924;0.329806;53.3273;55.8307;64.9526;0.329806;64.9717;55.9546;62.7449;0.329806;56.6938;41.8164;41.4015;0.329806;41.9213;48.6352;56.7653
0.339806;71.5092;75.1141;67.1175;0.339806;50.3423;53.642;62.5541;0.339806;62.3062;53.1604;60.2272;0.339806;54.6672;39.9996;39.5466;0.339806;39.9472;46.127;53.6897
0.349806;68.7626;72.9206;64.2946;0.349806;47.3144;51.1338;59.8123;0.349806;59.4976;50.347;57.6475;0.349806;52.5071;38.221;37.5916;0.349806;38.0589;43.7094;50.6999
0.359728;65.8681;70.2646;61.219;0.359728;44.3246;48.4683;56.9322;0.359728;56.8321;47.5766;54.9867;0.359728;50.4043;36.5998;35.8941;0.359728;36.2708;41.3681;47.9199
