2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
0.189883;49.2892;47.3809;41.7365;0.189883;30.7268;28.8695;31.289;0.189883;15.8866;16.9862;18.4224;0.189883;3.09256;4.64506;3.95369;0.189883;0.487782;0.602224;0.472953
0.199883;53.4608;51.8832;45.5593;0.199883;33.2445;32.0338;33.8587;0.199883;16.9485;17.9718;19.2784;0.199883;2.98523;4.75201;3.96961;0.199883;0.503613;0.644948;0.497128
0.209884;57.6427;56.3982;49.5162;0.209884;35.6425;34.6917;36.3101;0.209884;17.8502;18.7877;19.9645;0.209884;2.86659;4.86686;4.01749;0.209884;0.52159;0.686243;0.522305
0.219806;61.877;61.033;53.7469;0.219806;37.8717;37.1608;38.5689;0.219806;18.566;19.4009;20.4352;0.219806;2.75053;4.98845;4.12554;0.219806;0.540235;0.730207;0.548007
0.229806;66.1781;65.8491;58.2674;0.229806;39.6675;39.4944;40.4381;0.229806;19.0638;19.7871;20.6331;0.229806;2.64062;5.12387;4.15792;0.229806;0.555541;0.78285;0.576427
0.239805;70.3505;69.6543;62.907;0.239805;40.9984;41.377;41.6273;0.239805;19.3432;19.8649;20.5849;0.239805;2.53895;5.26597;4.2396;0.239805;0.570848;0.838927;0.603988
0.249805;73.6025;72.706;67.4369;0.249805;41.9358;42.7283;42.3321;0.249805;19.3599;19.6975;20.3098;0.249805;2.44144;5.40759;4.31475;0.249805;0.602129;0.902298;0.641706
0.259806;76.6638;75.6958;70.7939;0.259806;42.4556;43.5981;42.6468;0.259806;19.1377;19.2488;19.7862;0.259806;2.34292;5.55112;4.40683;0.259806;0.6336;0.96672;0.679567
0.269806;79.4485;78.08;73.4499;0.269806;42.4833;43.9214;42.4103;0.269806;18.6752;18.5512;19.0275;0.269806;2.25194;5.68941;4.50253;0.269806;0.663688;1.0341;0.720194
0.279806;81.4656;79.9587;75.8293;0.279806;42.0088;43.7144;41.6893;0.279806;18.0181;17.6957;18.1778;0.279806;2.1706;5.81338;4.55937;0.279806;0.692156;1.10414;0.762489
0.289805;83.0582;81.4465;77.6222;0.289805;41.058;43.0016;40.6026;0.289805;17.2122;16.7144;17.2036;0.289805;2.09449;5.93784;4.62207;0.289805;0.709799;1.17023;0.807264
0.299806;83.9451;82.0807;78.5425;0.299806;39.6532;41.8104;39.0834;0.299806;16.2681;15.6167;16.0683;0.299806;2.02487;6.04942;4.70712;0.299806;0.713757;1.2328;0.855855
0.309806;84.1979;82.1808;79.191;0.309806;37.8751;40.2559;37.351;0.309806;15.2591;14.53;14.9754;0.309806;1.95816;6.14717;4.81488;0.309806;0.730398;1.28739;0.900916
0.319806;83.7258;81.146;79.3388;0.319806;35.787;38.351;35.3755;0.319806;14.1953;13.4209;13.7342;0.319806;1.905;6.2392;4.95603;0.319806;0.744942;1.34295;0.940827
0.329806;81.8423;79.0003;79.0241;0.329806;33.5172;36.2476;33.1363;0.329806;13.1162;12.3556;12.6079;0.329806;1.8729;6.32694;5.01372;0.329806;0.760773;1.39754;0.97721
0.339806;80.0541;76.2203;77.3838;0.339806;31.0963;33.9607;30.8918;0.339806;12.0476;11.328;11.5321;0.339806;1.83089;6.41134;5.17966;0.339806;0.779131;1.44981;1.01502
0.349806;76.9547;73.4356;75.0378;0.349806;28.6459;31.6223;28.6106;0.349806;11.0009;10.3209;10.4916;0.349806;1.81115;6.50527;5.32271;0.349806;0.797632;1.49286;1.0463
0.359728;73.407;68.9915;71.8477;0.359728;26.2125;29.2801;26.3437;0.359728;9.98191;9.38777;9.45453;0.359728;1.79003;6.59921;5.45909;0.359728;0.81518;1.54031;1.06495
0.369728;69.3253;64.4472;68.4097;0.369728;23.8408;26.9364;24.1188;0.369728;8.9958;8.44458;8.3268;0.369728;1.76447;6.77755;5.5597;0.369728;0.831297;1.57798;1.08602
0.379728;64.1038;60.251;64.5235;0.379728;21.5457;24.6318;21.8829;0.379728;8.06311;7.58579;7.48709;0.379728;1.74964;6.94874;5.72565;0.379728;0.844601;1.61565;1.09628
0.389729;58.9206;55.1393;60.9281;0.389729;19.3613;22.4093;19.8005;0.389729;7.18811;6.78995;6.68218;0.389729;1.74177;7.06938;5.95071;0.389729;0.851229;1.65141;1.10405
0.399728;53.3416;50.1801;55.8593;0.399728;17.2699;20.2573;17.8269;0.399728;6.36508;6.04513;5.94594;0.399728;1.74473;7.16475;6.04656;0.399728;0.855759;1.68636;1.10815
