2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
0.189883;15.6954;19.05;20.7313;0.189883;12.3127;11.5884;15.3387;0.189883;9.43927;10.001;9.88606;0.189883;3.35816;3.67364;4.1552;0.189883;0.506522;0.695589;0.579574
0.199883;17.5222;21.2496;23.0606;0.199883;13.6188;12.8272;17.0682;0.199883;10.3648;10.5546;10.8202;0.199883;3.43675;3.7289;4.21561;0.199883;0.507094;0.7108;0.590589
0.209884;19.4538;23.6934;25.7457;0.209884;15.0774;14.2282;19.0085;0.209884;11.3943;11.1373;11.8001;0.209884;3.50045;3.77869;4.27732;0.209884;0.495173;0.702837;0.592067
0.219806;21.5166;26.5025;28.6187;0.219806;16.713;15.816;21.1938;0.219806;12.5254;11.7953;12.8968;0.219806;3.55476;3.8134;4.33411;0.219806;0.492074;0.7386;0.597169
0.229806;23.898;29.6253;31.9156;0.229806;18.5588;17.6175;23.6395;0.229806;13.7737;12.522;14.1213;0.229806;3.59234;3.83352;4.38465;0.229806;0.477387;0.754526;0.623395
0.239805;26.6465;33.1043;35.4809;0.239805;20.562;19.6026;26.2946;0.239805;15.1132;13.3384;15.3959;0.239805;3.6033;3.81779;4.42054;0.239805;0.463416;0.783709;0.605705
0.249805;29.2634;36.8647;39.42;0.249805;22.8265;21.7694;29.1542;0.249805;16.5265;14.221;16.7192;0.249805;3.58595;3.77354;4.43484;0.249805;0.468328;0.808266;0.640562
0.259806;32.3361;41.0084;43.6715;0.259806;25.1239;24.1459;32.2412;0.259806;17.9895;15.209;18.0662;0.259806;3.54246;3.71965;4.41625;0.259806;0.431801;0.838641;0.635555
0.269806;35.6535;45.4544;48.2177;0.269806;27.5882;26.7037;35.4542;0.269806;19.4763;16.1999;19.4085;0.269806;3.46822;3.61985;4.37476;0.269806;0.436236;0.87283;0.604656
0.279806;39.1358;50.2619;53.0698;0.279806;30.2194;29.3602;38.741;0.279806;20.9215;17.3076;20.7012;0.279806;3.36918;3.5119;4.3142;0.279806;0.409581;0.924996;0.628355
0.289805;43.0569;55.3443;58.1911;0.289805;32.9422;32.1387;42.0016;0.289805;22.2944;18.4205;21.8776;0.289805;3.24763;3.37929;4.23743;0.289805;0.39313;0.99738;0.666358
0.299806;47.1668;60.6992;63.4697;0.299806;35.6811;34.9897;45.1268;0.299806;23.5566;19.5173;22.9872;0.299806;3.10291;3.23442;4.12823;0.299806;0.380589;1.0753;0.719955
0.309806;51.5773;66.3593;68.9486;0.309806;38.4001;37.8417;48.0809;0.309806;24.6237;20.5296;23.9762;0.309806;2.93292;3.07807;4.00712;0.309806;0.363709;1.15922;0.759819
0.319806;55.4063;72.2387;74.4131;0.319806;41.0389;40.6202;50.6713;0.319806;25.4448;21.5023;24.7992;0.319806;2.77399;2.92042;3.87312;0.319806;0.363184;1.24581;0.796869
0.329806;59.9887;78.2135;79.8586;0.329806;43.4932;43.2314;52.86;0.329806;26.008;22.3354;25.297;0.329806;2.61405;2.75463;3.70575;0.329806;0.348021;1.31887;0.817946
0.339806;64.3184;84.1549;84.9703;0.339806;45.7753;45.6147;54.5909;0.339806;26.254;23.002;25.5979;0.339806;2.4536;2.58978;3.5565;0.339806;0.337912;1.38691;0.855473
0.349806;68.7482;89.8341;89.5289;0.349806;47.7435;48.0248;55.7734;0.349806;26.1854;23.4979;25.4267;0.349806;2.29505;2.42852;3.43443;0.349806;0.262762;1.42997;0.878504
0.359728;72.9158;94.5596;93.315;0.359728;49.3743;49.7844;56.422;0.359728;25.8063;23.8117;25.1177;0.359728;2.16607;2.27235;3.33811;0.359728;0.261904;1.47012;0.902728
0.369728;76.8307;97.926;96.2333;0.369728;50.4853;50.5187;56.4172;0.369728;25.0638;23.7778;24.3519;0.369728;2.02096;2.12053;3.23893;0.369728;0.259186;1.53177;0.931099
0.379728;80.6978;100.124;98.3218;0.379728;51.3055;51.11;55.8497;0.379728;24.1283;23.4645;23.4755;0.379728;1.85674;1.97447;3.13085;0.379728;0.261618;1.58137;0.948171
0.389729;82.9819;101.331;99.6951;0.389729;51.2721;51.2578;54.8388;0.389729;23.0578;22.9486;22.4417;0.389729;1.71178;1.83333;3.03348;0.389729;0.263859;1.64078;0.96939
0.399728;83.9976;101.531;100.63;0.399728;51.1863;51.2483;53.3702;0.399728;21.7336;22.2238;21.2253;0.399728;1.58284;1.70167;2.94427;0.399728;0.27001;1.6785;0.99285
0.409728;85.3804;101.278;101.016;0.409728;50.1086;49.9942;51.5391;0.409728;20.2936;21.2344;19.8553;0.409728;1.4633;1.57378;2.85724;0.409728;0.275208;1.72413;1.01006
0.419728;85.8382;100.558;100.835;0.419728;48.8355;48.4302;49.4267;0.419728;18.8525;20.191;18.5383;0.419728;1.3521;1.45529;2.77003;0.419728;0.285924;1.76714;1.03434
0.429729;86.0384;99.204;99.924;0.429729;46.7183;46.3941;47.0521;0.429729;17.3157;19.0399;17.1812;0.429729;1.24863;1.33608;2.69536;0.429729;0.292946;1.79103;1.05617
